,math score,reading score,writing score
229,76,74,72
230,58,79,82
231,100,91,90
232,53,68,64
233,82,95,96
234,76,62,64
235,83,75,75
236,72,84,82
237,76,76,83
238,66,64,58
239,63,65,63
240,68,74,71
241,40,52,42
242,68,71,61
243,56,54,52
244,74,83,80
245,53,70,71
246,88,65,70
247,67,63,61
248,60,76,65
249,51,61,54
250,53,66,59
251,80,78,74
252,69,71,67
253,64,79,70
254,80,87,89
255,58,72,62
256,39,46,50
257,64,56,50
258,61,66,63
259,90,82,88
260,73,71,64
261,73,73,70
262,67,76,77
263,57,58,62
264,65,73,72
265,71,72,71
266,59,69,72
267,74,71,65
268,93,100,93
269,85,93,92
270,76,83,79
271,58,72,70
272,72,77,77
273,40,49,47
274,75,73,66
275,85,81,80
276,100,100,100
277,53,65,66
278,40,42,39
279,49,49,49
280,77,80,80
281,82,89,84
282,55,48,42
283,62,71,77
284,69,63,59
285,78,74,76
286,71,77,82
287,59,71,66
288,60,75,70
289,43,60,60
290,77,83,86
291,50,47,46
292,56,58,52
293,69,58,50
294,47,43,39
295,48,39,40
296,55,62,49
297,73,68,66
298,71,63,66
299,54,57,60
300,66,61,63
301,63,63,67
302,66,81,73
303,79,80,75
304,73,69,70
305,36,57,53
306,50,48,43
307,87,78,80
308,71,68,63
309,85,87,94
310,58,67,64
311,86,83,81
312,64,86,89
313,83,85,79
314,58,56,49
315,59,83,81
316,40,58,54
317,82,83,85
318,87,84,80
319,62,65,64
320,76,80,78
321,63,69,60
322,58,60,59
323,61,63,65
324,78,69,71
325,78,90,81
326,56,54,43
327,96,83,82
328,48,43,40
329,70,76,72
330,43,68,58
331,45,46,49
332,58,68,62
333,70,73,80
334,60,61,58
335,52,53,47
336,61,62,54
337,55,70,61
338,80,80,79
339,63,60,54
340,79,79,87
341,74,78,72
342,46,58,64
343,72,88,92
344,58,64,64
345,47,50,47
346,68,78,84
347,68,71,67
348,65,75,68
349,50,54,51
350,48,71,68
351,58,60,64
352,71,74,68
353,58,52,48
354,66,90,83
355,44,53,43
356,51,63,66
357,78,83,77
358,72,71,65
359,60,64,67
360,55,61,60
361,64,67,64
362,57,64,60
363,70,75,74
364,84,72,76
365,66,71,76
366,56,65,73
367,59,53,56
368,87,89,84
369,73,75,64
370,85,91,89
371,49,54,42
372,82,87,90
373,80,90,90
374,48,51,43
375,85,83,94
376,70,78,76
377,89,84,81
378,72,86,79
379,80,86,87
380,43,57,50
381,54,61,61
382,82,82,78
383,74,80,78
384,63,62,64
385,47,56,51
386,67,58,56
387,57,59,54
388,64,78,83
389,85,100,100
390,70,80,86
391,90,73,83
392,53,70,69
393,74,73,75
394,61,71,67
395,55,74,73
396,65,63,66
397,77,77,79
398,74,61,56
399,94,92,85
400,54,64,68
401,52,49,43
402,73,75,71
403,81,72,58
404,62,75,72
405,55,60,61
406,55,61,61
407,61,62,61
408,75,70,64
409,79,65,59
410,70,70,68
411,72,65,59
412,38,46,33
413,57,71,63
414,76,71,70
415,45,45,38
416,77,73,74
417,78,83,78
418,63,65,66
419,83,70,73
420,55,52,47
421,88,78,76
422,82,83,85
423,86,71,71
424,61,74,72
425,78,85,93
426,67,63,66
427,83,87,83
428,68,74,69
429,53,52,44
430,91,88,90
431,67,66,66
432,53,64,62
433,86,100,100
434,75,70,61
435,55,38,35
436,93,86,95
437,62,71,66
438,83,76,71
439,73,72,64
440,57,52,53
441,70,75,75
442,55,62,64
443,65,56,51
444,76,85,88
445,59,47,46
446,74,73,77
447,65,59,60
448,89,87,89
449,71,82,82
450,63,69,59
451,57,55,60
452,56,67,56
453,49,44,41
454,69,73,71
455,49,62,60
456,67,62,58
457,74,85,82
458,47,67,63
459,63,63,69
460,73,51,53
461,91,94,96
462,80,87,79
463,66,73,68
464,52,48,43
465,65,71,65
466,83,75,71
467,80,85,78
468,68,68,59
469,68,73,68
470,62,43,45
471,76,88,84
472,77,79,83
473,83,81,83
474,71,78,82
475,86,91,89
476,93,96,96
477,60,64,60
478,57,56,58
479,84,79,74
480,66,71,75
481,85,69,74
482,57,68,76
483,41,49,49
484,75,76,76
485,65,63,60
486,78,65,60
487,71,64,66
488,86,92,93
489,89,84,81
490,53,64,63
491,87,87,92
492,71,57,59
493,77,80,72
494,43,48,53
495,88,91,86
496,86,76,63
497,45,56,55
498,69,56,57
499,65,70,72
500,81,79,71
501,90,88,86
502,78,72,71
503,71,79,89
504,75,80,72
505,70,60,56
506,54,52,48
507,49,36,32
508,80,82,82
509,78,89,93
510,89,77,82
511,65,83,82
512,78,74,71
513,69,85,78
514,49,47,48
515,50,64,66
516,79,76,71
517,89,92,97
518,48,61,59
519,63,67,71
520,88,100,88
521,66,73,73
522,45,59,56
523,62,78,73
524,74,80,86
525,82,87,90
526,83,63,63
527,60,72,76
528,66,73,72
529,76,66,68
530,75,74,76
531,77,72,79
532,82,88,86
533,63,59,60
534,70,85,85
535,84,71,76
536,68,60,63
537,56,58,50
538,37,46,43
539,49,56,53
540,100,100,100
541,83,68,65
542,92,100,98
543,71,62,66
544,72,76,73
545,37,53,48
546,35,43,35
547,69,68,62
548,65,73,81
549,56,48,36
550,40,46,57
551,60,62,60
552,57,66,73
553,58,62,66
554,74,95,94
555,77,77,83
556,66,57,53
557,62,79,87
558,70,73,66
559,67,64,60
560,81,91,94
561,56,50,43
562,61,79,76
563,47,54,56
564,88,87,94
565,51,52,52
566,68,60,62
567,68,71,71
568,47,49,50
569,84,77,82
570,69,72,68
571,52,69,75
572,80,79,79
573,100,84,88
574,53,59,64
575,59,73,74
576,78,96,89
577,84,87,89
578,52,72,71
579,81,78,75
580,90,95,100
581,63,73,66
582,100,97,100
583,56,63,62
584,46,54,54
585,75,85,90
586,46,51,54
587,42,40,40
588,77,86,90
589,40,63,56
590,69,71,76
591,43,50,45
592,69,75,71
593,89,93,100
594,44,34,36
595,82,83,77
596,72,72,65
597,64,53,50
598,89,73,70
599,58,53,54
600,63,81,78
601,54,66,69
602,83,78,82
603,57,74,64
604,52,47,48
605,75,93,97
606,67,66,64
607,58,60,53
608,63,66,68
609,49,64,57
610,38,47,52
611,74,85,84
612,69,84,82
613,77,82,80
614,40,59,59
615,96,98,100
616,85,86,85
617,85,77,76
618,72,59,54
619,63,78,73
620,58,67,58
621,58,64,54
622,51,57,53
623,100,100,100
624,77,84,92
625,63,56,56
626,64,67,68
627,100,82,80
628,66,65,65
629,87,87,84
630,73,72,69
631,69,66,65
632,62,64,63
633,40,48,49
634,55,68,60
635,77,77,78
636,63,70,71
637,85,85,91
638,82,77,71
639,81,71,70
640,92,100,97
641,50,48,36
642,54,60,56
643,76,83,78
644,60,68,74
645,45,72,66
646,80,77,72
647,52,45,48
648,90,89,97
649,53,65,69
650,92,95,95
651,63,78,75
652,71,77,79
653,64,70,73
654,67,81,89
655,63,63,61
656,63,53,44
657,59,49,46
658,49,43,35
659,75,84,86
660,34,47,45
661,53,70,69
662,63,56,60
663,75,69,65
664,63,61,62
665,70,72,75
666,61,73,70
667,74,61,59
668,57,49,48
669,41,52,47
670,87,80,76
671,69,71,62
672,69,77,70
673,58,56,56
674,47,69,62
675,78,69,71
676,54,61,71
677,94,92,92
678,68,84,80
679,90,88,84
680,57,57,53
681,96,95,90
682,68,63,62
683,52,64,63
684,90,76,73
685,71,82,75
686,58,69,74
687,41,39,34
688,43,37,43
689,85,70,71
690,71,72,69
691,72,70,72
692,70,62,66
693,89,100,100
694,92,86,82
695,80,79,81
696,80,70,60
697,56,64,59
698,93,86,73
699,49,37,41
700,59,57,58
701,64,74,75
702,73,66,59
703,82,86,90
704,48,43,41
705,51,64,62
706,38,46,43
707,45,50,42
708,83,92,95
709,45,57,56
710,66,64,62
711,60,62,57
712,49,47,49
713,80,84,86
714,75,68,66
715,57,68,61
716,90,87,81
717,63,70,71
718,100,91,86
719,76,68,66
720,52,58,53
721,81,86,93
722,90,89,87
723,83,82,81
724,61,73,69
725,79,69,75
726,52,53,51
727,62,65,67
728,85,90,84
729,74,96,95
730,83,85,78
731,78,72,72
732,41,43,40
733,77,91,87
734,95,99,91
735,50,68,66
736,74,76,70
737,74,93,93
738,70,62,61
739,61,59,54
740,94,100,100
741,66,84,77
742,83,88,93
743,75,63,60
744,56,65,63
745,66,88,83
746,61,69,66
747,70,79,73
748,57,59,53
749,78,89,90
750,62,76,67
751,64,53,49
752,55,66,65
753,72,83,83
754,49,48,42
755,62,60,63
756,76,73,68
757,73,86,85
758,72,76,78
759,85,85,76
760,71,68,65
761,41,42,38
762,78,72,68
763,48,52,44
764,38,51,47
765,91,100,100
766,71,81,80
767,84,87,92
768,63,60,63
769,70,78,87
770,48,52,57
771,68,72,73
772,84,84,87
773,61,62,60
774,62,59,62
775,66,78,83
776,52,65,71
777,68,75,73
778,62,68,71
779,90,88,84
780,42,50,44
781,74,90,89
782,62,61,61
783,56,55,50
784,64,52,54
785,79,84,80
786,44,65,63
787,69,94,87
788,53,48,48
789,74,69,61
790,49,55,48
791,57,71,71
792,61,72,64
793,65,88,84
794,51,60,52
795,49,51,41
796,56,65,56
797,65,62,63
798,70,64,62
799,91,95,88
800,48,56,64
801,94,99,100
802,77,76,73
803,59,78,75
804,57,75,70
805,76,82,74
806,65,63,64
807,75,75,83
808,70,66,65
809,79,79,70
810,100,100,100
811,83,96,99
812,70,84,78
813,97,80,88
814,33,32,35
815,38,40,41
816,46,51,47
817,85,83,78
818,79,79,80
819,76,81,79
820,53,70,65
821,68,70,63
822,67,70,70
823,100,84,88
824,54,48,45
825,72,73,70
826,91,97,95
827,87,81,86
828,66,75,74
829,65,66,64
830,41,56,53
831,67,69,65
832,94,89,86
833,57,70,68
834,89,83,80
835,77,73,80
836,57,60,50
837,72,72,72
838,98,94,95
839,87,97,100
840,61,57,55
841,85,100,97
842,81,85,91
843,74,84,79
844,98,92,90
845,86,84,89
846,85,81,82
847,68,71,63
848,66,78,77
849,75,74,71
850,79,57,58
851,59,85,82
852,60,62,58
853,69,60,54
854,49,54,58
855,62,44,52
856,70,84,83
857,71,57,60
858,71,69,65
859,50,59,54
860,52,55,57
861,75,65,66
862,51,64,63
863,64,48,50
864,65,76,72
865,99,81,87
866,60,62,58
867,70,78,80
868,77,76,77
869,73,73,61
870,53,74,75
871,67,58,62
872,67,79,80
873,51,57,50
874,64,71,70
875,55,42,43
876,55,39,51
877,86,77,78
878,71,88,85
879,71,63,64
880,51,67,69
881,75,76,85
882,59,54,48
883,64,69,68
884,78,69,73
885,59,61,58
886,80,70,71
887,68,82,77
888,77,81,79
889,66,67,64
890,80,66,69
891,48,62,61
892,52,64,55
893,54,64,64
894,59,68,67
895,77,62,65
896,64,70,69
897,83,72,68
898,70,73,69
899,72,68,67
900,83,78,79
901,52,58,57
902,53,73,74
903,55,55,55
904,65,63,61
905,60,67,64
906,64,62,59
907,71,72,69
908,61,71,65
909,61,55,58
910,65,74,79
911,71,83,89
912,48,49,44
913,75,80,75
914,54,66,65
915,70,64,65
916,91,77,72
917,33,44,50
918,45,50,41
919,45,33,32
920,62,61,57
921,92,79,77
922,74,75,79
923,81,79,83
924,76,71,66
925,57,72,73
926,63,61,55
927,57,62,73
928,46,65,64
929,49,50,45
930,54,60,65
931,89,87,90
932,77,70,78
933,46,63,60
934,66,59,70
935,48,63,53
936,83,76,81
937,69,75,74
938,73,52,54
939,43,59,59
940,91,84,83
941,49,58,55
942,87,86,84
943,46,46,44
944,63,61,71
945,100,83,86
946,86,87,89
947,55,73,70
948,84,100,99
949,39,51,48
950,67,57,52
951,85,100,97
952,64,51,44
953,81,77,74
954,78,71,67
955,59,59,58
956,74,76,70
957,54,55,65
958,51,51,45
959,57,65,68
960,39,50,49
961,64,48,48
962,69,79,72
963,58,50,47
964,63,71,75
965,74,73,67
966,78,84,77
967,78,78,74
968,75,76,81
969,70,60,65
970,67,55,53
971,87,93,88
972,69,63,66
973,58,54,58
974,86,82,75
975,73,70,65
976,85,91,92
977,73,74,82
978,65,60,62
